0,1,2,3,4,5,6,7,8,9
280.0,120.0,90.0,80.0,70.0,60.0,40.0,20.0,20.0,20.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,20.0,20.0,40.0,60.0,70.0,80.0,90.0,120.0,280.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
100.0,100.0,40.0,40.0,40.0,20.0,14.0,14.0,14.0,18.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
18.0,14.0,14.0,14.0,20.0,40.0,40.0,40.0,100.0,100.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
100.0,40.0,40.0,30.0,20.0,20.0,14.0,14.0,12.0,10.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
10.0,12.0,14.0,14.0,20.0,20.0,30.0,40.0,40.0,100.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
