A_target,B_target,vol_a,vol_b,vol_water,stock_a,stock_b
0.1,0.1,10.0,25.0,465.0,5,2
0.1,0.25,10.0,62.5,427.5,5,2
0.1,0.5,10.0,125.0,365.0,5,2
0.1,0.75,10.0,187.5,302.5,5,2
0.1,1.0,10.0,250.0,240.0,5,2
0.5,0.1,50.0,25.0,425.0,5,2
0.5,0.25,50.0,62.5,387.5,5,2
0.5,0.5,50.0,125.0,325.0,5,2
0.5,0.75,50.0,187.5,262.5,5,2
0.5,1.0,50.0,250.0,200.0,5,2
1.0,0.1,100.0,25.0,375.0,5,2
1.0,0.25,100.0,62.5,337.5,5,2
1.0,0.5,100.0,125.0,275.0,5,2
1.0,0.75,100.0,187.5,212.5,5,2
1.0,1.0,100.0,250.0,150.0,5,2
1.5,0.1,150.0,25.0,325.0,5,2
1.5,0.25,150.0,62.5,287.5,5,2
1.5,0.5,150.0,125.0,225.0,5,2
1.5,0.75,150.0,187.5,162.5,5,2
1.5,1.0,150.0,250.0,100.0,5,2
2.0,0.1,200.0,25.0,275.0,5,2
2.0,0.25,200.0,62.5,237.5,5,2
2.0,0.5,200.0,125.0,175.0,5,2
2.0,0.75,200.0,187.5,112.5,5,2
2.0,1.0,200.0,250.0,50.0,5,2
2.5,0.1,250.0,25.0,225.0,5,2
2.5,0.25,250.0,62.5,187.5,5,2
2.5,0.5,250.0,125.0,125.0,5,2
2.5,0.75,250.0,187.5,62.5,5,2
2.5,1.0,250.0,250.0,0.0,5,2
3.0,0.1,300.0,25.0,175.0,5,2
3.0,0.25,300.0,62.5,137.5,5,2
3.0,0.5,300.0,125.0,75.0,5,2
3.0,0.75,300.0,187.5,12.5,5,2
