,step,CA_target,CB_target,stock_A,vol_A,stock_B,vol_B,vol_water
0,1,0.0,0.1,0.0,0.0,0.15,0.6667,0.3333
1,2,0.0017903356597305,0.0880759614640481,0.1,0.0269,0.1,0.8211,0.152
2,3,0.0059430577332119,0.0560470405783841,0.1,0.0802,0.1,0.4003,0.5195
3,4,0.014100523143333,0.0290666815593533,0.1,0.1818,0.1,0.1558,0.6624
4,5,0.0294170454168938,0.0124312969855056,0.1,0.3708,0.1,0.0411,0.5881
5,6,0.0510247626845483,0.0047692785958581,0.1,0.6183,0.1,0.0094,0.3723
6,7,0.0742687963148801,0.0019028424273762,0.1,0.8589,0.1,0.0047,0.1364
7,8,0.0959739982777909,0.0008569775572881,0.2,0.5341,0.1,0.0033,0.4625
8,9,0.1153010431648977,0.0004380603183228,0.2,0.6248,0.1,0.0023,0.3729
9,10,0.1323526128246323,0.0002507343089976,0.2,0.7044,0.1,0.0016,0.294
