Unnamed: 0,step,CA_target,CB_target,stock_A,vol_A,stock_B,vol_B,vol_water
0,0,0.0,0.0,0.585,1.0,1.0,0.5,0.0
0,1,0.1602720414196622,0.1819515070138213,1.0,0.1603,0.25,0.7278,0.1119
1,2,0.2542694854234456,0.0971450280487591,1.0,0.3013,0.2,0.2737,0.425
2,3,0.3274503011999758,0.0637527048281904,1.0,0.364,0.1,0.4706,0.1654
3,4,0.3869635715924497,0.046171946640242,1.0,0.4167,0.1,0.3738,0.2095
4,5,0.436333446450271,0.0354966836598758,1.0,0.461,0.1,0.3016,0.2374
5,6,0.4780805059398451,0.0284626802686964,1.0,0.499,0.1,0.2495,0.2516
6,7,0.5138642889361813,0.0235117785023221,1.0,0.5318,0.1,0.2104,0.2579
7,8,0.5450341093294325,0.0198784040488021,1.0,0.5606,0.1,0.1806,0.2588
8,9,0.572459463264864,0.0171123392673031,1.0,0.5862,0.1,0.1573,0.2565
